C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XG5,X,VENDIDO,GABRIELA RODRIGUEZ,14/4/2025,MUJER,24,COLOMBIA,CALI,AUX. COCINA,EMPLEAD@,UNIÓN LIBRE,$5.000.000,SOY REFERIDO
XG6,X,VENDIDO,GABRIELA RODRIGUEZ,31/3/2025,MUJER,27,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,UNIÓN LIBRE,$2.000.000,SOY REFERIDO
XJ22,X,VENDIDO,LAURA DANIELA GALLO,1/7/2025,MUJER,42,INGLATERRA,LONDRES,INDEPENDIENTE,INDEPENDIENTE,CASAD@,"$4,000,000",REFERIDO
XG8,X,DISPONIBLE,, ,,,,,,,,,
XG9,X,DISPONIBLE,, ,,,,,,,,,
XE27,X,VENDIDO,GABRIELA RODRIGUEZ,1/8/2025,HOMBRE,25,COLOMBIA,CALI,BIOMEDICO,EMPLEAD@,SOLTER@,$4.000.000,LOS VI EN REDES
XG11,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XG12,X,VENDIDO,ISABEL ARBOLEDA,31/1/2025,MUJER,38,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,SOLTER@,$2.500.000,SOY REFERIDO
XG13,X,DISPONIBLE,, ,,,,,,,,,
XG14,X,DISPONIBLE,, ,,,,,,,,,
XG15,X,DISPONIBLE,, ,,,,,,,,,
XG16,X,DISPONIBLE,, ,,,,,,,,,
XG17,X,DISPONIBLE,, ,,,,,,,,,
XG18,X,VENDIDO,GABRIELA RODRIGUEZ,20/1/2025,HOMBRE,38,COLOMBIA,BOGOTA,SUBOFICIAL DEL EJERCITO,EMPLEAD@,SOLTER@,$3.500.000,SOY REFERIDO
XG19,X,DISPONIBLE,, ,,,,,,,,,
XG20,X,VENDIDO,DACION,1/4/2024,,,,,,,,,
XG21,X,DISPONIBLE,, ,,,,,,,,,
XG22,X,DISPONIBLE,, ,,,,,,,,,
XG23,X,DISPONIBLE,, ,,,,,,,,,
XG24,X,DISPONIBLE,, ,,,,,,,,,
XG25,X,DISPONIBLE,, ,,,,,,,,,
XG26,X,DISPONIBLE,, ,,,,,,,,,
XG27,X,DISPONIBLE,, ,,,,,,,,,
XG28,X,DISPONIBLE,, ,,,,,,,,,
XG29,X,DISPONIBLE,, ,,,,,,,,,
XG30,X,DISPONIBLE,, ,,,,,,,,,
XG31,X,DISPONIBLE,, ,,,,,,,,,
XG32,X,DISPONIBLE,, ,,,,,,,,,
XH1,X,DISPONIBLE,, ,,,,,,,,,
XH2,X,VENDIDO,GABRIELA RODRIGUEZ,31/3/2025,HOMBRE,46,COLOMBIA,BUENAVENTURA,COORDINADOR OPERATIVO,EMPLEAD@,SOLTER@,$2.500.000,LOS VI EN REDES
XH3,X,DISPONIBLE,, ,,,,,,,,,
